#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\30061764.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","30061764.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\30061764.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","30061764","System.Collections.Generic.List`1[System.String]",,"30061764.jpg","8649","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\30061764.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\43267868.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","43267868.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\43267868.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","43267868","System.Collections.Generic.List`1[System.String]",,"43267868.jpg","8231","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\43267868.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\43267884.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","43267884.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\43267884.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","43267884","System.Collections.Generic.List`1[System.String]",,"43267884.jpg","9148","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\43267884.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\43900080.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","43900080.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\43900080.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","43900080","System.Collections.Generic.List`1[System.String]",,"43900080.jpg","11016","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\43900080.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\44368854.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","44368854.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\44368854.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","44368854","System.Collections.Generic.List`1[System.String]",,"44368854.jpg","8573","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\44368854.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\44452553.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","44452553.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\44452553.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","44452553","System.Collections.Generic.List`1[System.String]",,"44452553.jpg","7380","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\44452553.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:20 AM","12/15/2022 2:49:20 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\44787105.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","44787105.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\44787105.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","44787105","System.Collections.Generic.List`1[System.String]",,"44787105.jpg","9374","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\44787105.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\44878771.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","44878771.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\44878771.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","44878771","System.Collections.Generic.List`1[System.String]",,"44878771.jpg","5961","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\44878771.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\44949822.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","44949822.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\44949822.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","44949822","System.Collections.Generic.List`1[System.String]",,"44949822.jpg","7693","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\44949822.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg\45004651.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\marks\Downloads\scrapeimg\jpg","45004651.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\marks\Downloads\scrapeimg\jpg\45004651.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","45004651","System.Collections.Generic.List`1[System.String]",,"45004651.jpg","8401","C:\Users\marks\Downloads\scrapeimg\jpg","C:\Users\marks\Downloads\scrapeimg\jpg","False","True","C:\Users\marks\Downloads\scrapeimg\jpg\45004651.jpg",".jpg","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","12/15/2022 8:49:18 AM","12/15/2022 2:49:18 PM","12/15/2022 8:48:55 AM","12/15/2022 2:48:55 PM","Archive"
